min_tf,max_tf,min_df,max_df,multi_category_words,adjusted Rand Index
344,1,100,2,0.6,True,0.12417030355886928
345,5,100,2,0.6,True,0.0687023760061362
346,10,100,2,0.6,True,0.132713962141678
347,15,100,2,0.6,True,0.12695397854295107
348,20,100,2,0.6,True,0.12415421453463697
349,30,100,2,0.6,True,0.13680974861893702
350,40,100,2,0.6,True,0.1149140102920184
351,50,100,2,0.6,True,0.06671002946594173
352,1,100,5,0.6,True,0.14889133256606712
353,5,100,5,0.6,True,0.09194529107153625
354,10,100,5,0.6,True,0.14960180197408246
355,15,100,5,0.6,True,0.1394930618502285
356,20,100,5,0.6,True,0.12399830901474558
357,30,100,5,0.6,True,0.14807577082664522
358,40,100,5,0.6,True,0.18440938195924808
359,50,100,5,0.6,True,0.12237063721244598
360,1,100,10,0.6,True,0.1511068918346057
361,5,100,10,0.6,True,0.12170973015906962
362,10,100,10,0.6,True,0.14579374469898423
363,15,100,10,0.6,True,0.16470969100494515
364,20,100,10,0.6,True,0.12759813019154162
365,30,100,10,0.6,True,0.2109933641301468
366,40,100,10,0.6,True,0.09599808702604518
367,50,100,10,0.6,True,0.08863905424103458
368,1,100,20,0.6,True,0.1424735759822583
369,5,100,20,0.6,True,0.13982833134183906
370,10,100,20,0.6,True,0.14036984265263514
371,15,100,20,0.6,True,0.14719305512289896
372,20,100,20,0.6,True,0.11245353029625105
373,30,100,20,0.6,True,0.11493177824378668
374,40,100,20,0.6,True,0.15984034792265286
375,50,100,20,0.6,True,0.10831692666313264
376,1,100,50,0.6,True,0.03660526771305114
377,5,100,50,0.6,True,0.03682760338706772
378,10,100,50,0.6,True,0.0382940875400555
379,15,100,50,0.6,True,0.030028543481685346
380,20,100,50,0.6,True,0.022224661794843496
381,30,100,50,0.6,True,0.023536237394268317
382,40,100,50,0.6,True,0.03126643336750898
383,50,100,50,0.6,True,0.036118276649780574
384,1,200,1,0.6,False,0.10226633666274608
385,5,200,1,0.6,False,0.1326735833782918
386,10,200,1,0.6,False,0.29016041598092907
387,15,200,1,0.6,False,0.23069485809316173
388,20,200,1,0.6,False,0.16309699196473132
389,30,200,1,0.6,False,0.20281635784238658
390,40,200,1,0.6,False,0.21638491863521297
391,50,200,1,0.6,False,0.21479021844396165
392,1,200,2,0.6,False,0.17465255080544154
393,5,200,2,0.6,False,0.14859074806223307
394,10,200,2,0.6,False,0.17070544394405435
395,15,200,2,0.6,False,0.2544535819213282
396,20,200,2,0.6,False,0.30844128836883394
397,30,200,2,0.6,False,0.3305256490282926
398,40,200,2,0.6,False,0.28027355682948113
399,50,200,2,0.6,False,0.17248549527204526
400,1,200,5,0.6,False,0.2856662335540187
401,5,200,5,0.6,False,0.1967749044972698
402,10,200,5,0.6,False,0.14532874977769508
403,15,200,5,0.6,False,0.2913219717535619
404,20,200,5,0.6,False,0.317801014468076
405,30,200,5,0.6,False,0.21328705780574028
406,40,200,5,0.6,False,0.2721844996020397
407,50,200,5,0.6,False,0.237079393583699
408,1,200,10,0.6,False,0.20148748978225908
409,5,200,10,0.6,False,0.27432170089379176
410,10,200,10,0.6,False,0.23038448368247308
411,15,200,10,0.6,False,0.295594149366637
412,20,200,10,0.6,False,0.25539426960242334
413,30,200,10,0.6,False,0.23804143231402722
414,40,200,10,0.6,False,0.28752059615234066
415,50,200,10,0.6,False,0.28703279726206404
416,1,200,20,0.6,False,0.26004298140027426
417,5,200,20,0.6,False,0.2584602329879203
418,10,200,20,0.6,False,0.25384506822290903
419,15,200,20,0.6,False,0.23930126021934264
420,20,200,20,0.6,False,0.3346859262152192
421,30,200,20,0.6,False,0.32826576342211766
422,40,200,20,0.6,False,0.20231429017287456
423,50,200,20,0.6,False,0.18992746361625423
424,1,200,50,0.6,False,0.22351607417222266
425,5,200,50,0.6,False,0.18652390282147013
426,10,200,50,0.6,False,0.2169521596304111
427,15,200,50,0.6,False,0.12889166090075474
428,20,200,50,0.6,False,0.18980815586880737
429,30,200,50,0.6,False,0.12694472029766848
430,40,200,50,0.6,False,0.12435247015505396
431,50,200,50,0.6,False,0.14637456071295096
432,1,200,1,0.6,True,0.15995261148781373
433,5,200,1,0.6,True,0.17881440007848787
434,10,200,1,0.6,True,0.23377448556076644
435,15,200,1,0.6,True,0.2738091923158772
436,20,200,1,0.6,True,0.22369779979667906
437,30,200,1,0.6,True,0.30804853011484556
438,40,200,1,0.6,True,0.26169110078401336
439,50,200,1,0.6,True,0.27027891960447864
440,1,200,2,0.6,True,0.1284443531197972
441,5,200,2,0.6,True,0.1453364417750289
442,10,200,2,0.6,True,0.21942035796800233
443,15,200,2,0.6,True,0.32012663450925294
444,20,200,2,0.6,True,0.21104363988659056
445,30,200,2,0.6,True,0.2505399575890037
446,40,200,2,0.6,True,0.2774939633442024
447,50,200,2,0.6,True,0.23643870253586077
448,1,200,5,0.6,True,0.1947457764024031
449,5,200,5,0.6,True,0.2210459503070845
450,10,200,5,0.6,True,0.25326615556122173
451,15,200,5,0.6,True,0.22550895101647256
452,20,200,5,0.6,True,0.3290056682154626
453,30,200,5,0.6,True,0.18480342580399736
454,40,200,5,0.6,True,0.2075105042604155
455,50,200,5,0.6,True,0.22434967569001935
456,1,200,10,0.6,True,0.227573500766078
457,5,200,10,0.6,True,0.2277505562159154
458,10,200,10,0.6,True,0.311245855595021
459,15,200,10,0.6,True,0.26338902352500193
460,20,200,10,0.6,True,0.27712699642390387
461,30,200,10,0.6,True,0.3173812150466914
462,40,200,10,0.6,True,0.24083541932304917
463,50,200,10,0.6,True,0.2447255352935216
464,1,200,20,0.6,True,0.30631901736852063
465,5,200,20,0.6,True,0.2539604063110488
466,10,200,20,0.6,True,0.25011789766212195
467,15,200,20,0.6,True,0.2605913682221404
468,20,200,20,0.6,True,0.26042507186978753
469,30,200,20,0.6,True,0.2043479805590242
470,40,200,20,0.6,True,0.17323188845493967
471,50,200,20,0.6,True,0.2574432202976469
472,1,200,50,0.6,True,0.21481087773671637
473,5,200,50,0.6,True,0.112496296814906
474,10,200,50,0.6,True,0.08668004243410386
475,15,200,50,0.6,True,0.10753330185701163
476,20,200,50,0.6,True,0.21893677781143164
477,30,200,50,0.6,True,0.18164304890897365
478,40,200,50,0.6,True,0.16426078647105335
479,50,200,50,0.6,True,0.19249537574025294
480,1,400,1,0.6,False,0.2585470128835587
481,5,400,1,0.6,False,0.2588699112304251
482,10,400,1,0.6,False,0.23538938245001972
483,15,400,1,0.6,False,0.2715191759602496
484,20,400,1,0.6,False,0.29339334325102356
485,30,400,1,0.6,False,0.2603895964350886
486,40,400,1,0.6,False,0.2487418919518957
487,50,400,1,0.6,False,0.3286795766118712
488,1,400,2,0.6,False,0.2908920869078758
489,5,400,2,0.6,False,0.2297467948245421
490,10,400,2,0.6,False,0.3055047528920364
491,15,400,2,0.6,False,0.30154341965582787
492,20,400,2,0.6,False,0.2709280002708076
493,30,400,2,0.6,False,0.21640938223844866
494,40,400,2,0.6,False,0.3694826944318404
495,50,400,2,0.6,False,0.3268947758636787
496,1,400,5,0.6,False,0.362524819253662
497,5,400,5,0.6,False,0.24654023341731915
498,10,400,5,0.6,False,0.3152640260451937
499,15,400,5,0.6,False,0.3639386002158097
500,20,400,5,0.6,False,0.3374036980580012
501,30,400,5,0.6,False,0.329893016054973
502,40,400,5,0.6,False,0.2582519221301277
503,50,400,5,0.6,False,0.2912107103959263
504,1,400,10,0.6,False,0.2680615003014845
505,5,400,10,0.6,False,0.25762526966927995
506,10,400,10,0.6,False,0.2831462630575248
507,15,400,10,0.6,False,0.27050381771874005
508,20,400,10,0.6,False,0.2832578644260827
509,30,400,10,0.6,False,0.3034210601910313
510,40,400,10,0.6,False,0.2756113179638126
511,50,400,10,0.6,False,0.3295288583941831
512,1,400,20,0.6,False,0.19753481182073815
513,5,400,20,0.6,False,0.2624707907721398
514,10,400,20,0.6,False,0.2686498268382759
515,15,400,20,0.6,False,0.3253654713973032
516,20,400,20,0.6,False,0.27258212331165527
517,30,400,20,0.6,False,0.2810611067999258
518,40,400,20,0.6,False,0.2817210059000386
519,50,400,20,0.6,False,0.29748948410489273
520,1,400,50,0.6,False,0.301356166654527
521,5,400,50,0.6,False,0.30921612882941285
522,10,400,50,0.6,False,0.31307635708834397
523,15,400,50,0.6,False,0.29584132220764475
524,20,400,50,0.6,False,0.338159594836599
525,30,400,50,0.6,False,0.25814128634072875
526,40,400,50,0.6,False,0.26594442165790944
527,50,400,50,0.6,False,0.2620207670271914
528,1,400,1,0.6,True,0.17358263672438667
529,5,400,1,0.6,True,0.3031382080542208
530,10,400,1,0.6,True,0.2711480580250442
531,15,400,1,0.6,True,0.3684851213648393
532,20,400,1,0.6,True,0.2896237417122565
533,30,400,1,0.6,True,0.3505704148991055
534,40,400,1,0.6,True,0.3117225696490381
535,50,400,1,0.6,True,0.31992249762219366
536,1,400,2,0.6,True,0.21556536202875773
537,5,400,2,0.6,True,0.25141125915074086
538,10,400,2,0.6,True,0.27197299109374873
539,15,400,2,0.6,True,0.31418864874286634
540,20,400,2,0.6,True,0.32162692056057185
541,30,400,2,0.6,True,0.26800464923230954
542,40,400,2,0.6,True,0.33367499794864436
543,50,400,2,0.6,True,0.350239093248567
544,1,400,5,0.6,True,0.33037576964311205
545,5,400,5,0.6,True,0.24852860172284094
546,10,400,5,0.6,True,0.35329620866482847
547,15,400,5,0.6,True,0.35906257475325837
548,20,400,5,0.6,True,0.413294014235243
549,30,400,5,0.6,True,0.3188125245535034
550,40,400,5,0.6,True,0.3786510859293797
551,50,400,5,0.6,True,0.40872908497367627
552,1,400,10,0.6,True,0.2584144873502969
553,5,400,10,0.6,True,0.3564531378355743
554,10,400,10,0.6,True,0.2761124382430153
555,15,400,10,0.6,True,0.34392805202356386
556,20,400,10,0.6,True,0.30371789327652793
557,30,400,10,0.6,True,0.33398265124801285
558,40,400,10,0.6,True,0.2760371052963183
559,50,400,10,0.6,True,0.21197648568417377
560,1,400,20,0.6,True,0.22672698716501635
561,5,400,20,0.6,True,0.2808033863618249
562,10,400,20,0.6,True,0.2973269588561089
563,15,400,20,0.6,True,0.27628489450152055
564,20,400,20,0.6,True,0.245055606163137
565,30,400,20,0.6,True,0.30701734161973365
566,40,400,20,0.6,True,0.3103847689782799
567,50,400,20,0.6,True,0.3178021511970083
568,1,400,50,0.6,True,0.3255096766808265
569,5,400,50,0.6,True,0.28290806874301677
570,10,400,50,0.6,True,0.28058057914457135
571,15,400,50,0.6,True,0.17814030034802353
572,20,400,50,0.6,True,0.3258346874638415
573,30,400,50,0.6,True,0.30454004634742665
574,40,400,50,0.6,True,0.22889659774366386
575,50,400,50,0.6,True,0.29471718563861427
576,1,100,1,0.7,False,0.028156449537096544
577,5,100,1,0.7,False,0.109489836575767
578,10,100,1,0.7,False,0.0878763317890774
579,15,100,1,0.7,False,0.15488671139249213
580,20,100,1,0.7,False,0.11741069053821776
581,30,100,1,0.7,False,0.1180431470294531
582,40,100,1,0.7,False,0.1253366686495925
583,50,100,1,0.7,False,0.07755209027479157
584,1,100,2,0.7,False,0.14553406239672073
585,5,100,2,0.7,False,0.12788780280527515
586,10,100,2,0.7,False,0.1250312347856021
587,15,100,2,0.7,False,0.12317944168515625
588,20,100,2,0.7,False,0.11168577335873144
589,30,100,2,0.7,False,0.1088695558571364
590,40,100,2,0.7,False,0.1691559925119139
591,50,100,2,0.7,False,0.07219239481376298
592,1,100,5,0.7,False,0.12032054756400222
593,5,100,5,0.7,False,0.10715276014020537
594,10,100,5,0.7,False,0.11768957611184873
595,15,100,5,0.7,False,0.09990942633508576
596,20,100,5,0.7,False,0.17487054621653458
597,30,100,5,0.7,False,0.13924286649717135
598,40,100,5,0.7,False,0.11303615766627188
599,50,100,5,0.7,False,0.08493869587391382
600,1,100,10,0.7,False,0.15553534848060097
601,5,100,10,0.7,False,0.19744302435697075
602,10,100,10,0.7,False,0.07181249918493561
603,15,100,10,0.7,False,0.12164678486723654
